No,Timestamp,Date,Time,Power (W),Energy (kWh),Hourly Cost (৳)
1,Fri Nov 21 2025 22:31:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:31:38,0,0,0
2,Fri Nov 21 2025 22:30:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:30:38,0,0,0
3,Fri Nov 21 2025 22:29:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:29:38,0,0,0
4,Fri Nov 21 2025 22:28:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:28:38,0,0,0
5,Fri Nov 21 2025 22:27:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:27:38,0,0,0
6,Fri Nov 21 2025 22:26:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:26:38,0,0,0
7,Fri Nov 21 2025 22:25:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:25:38,0,0,0
8,Fri Nov 21 2025 22:24:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:24:38,0,0,0
9,Fri Nov 21 2025 22:23:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:23:38,0,0,0
10,Fri Nov 21 2025 22:22:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:22:38,0,0,0
11,Fri Nov 21 2025 22:21:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:21:38,0,0,0
12,Fri Nov 21 2025 22:20:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:20:38,0,0,0
13,Fri Nov 21 2025 22:19:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:19:38,0,0,0
14,Fri Nov 21 2025 22:18:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:18:38,0,0,0
15,Fri Nov 21 2025 22:17:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:17:38,0,0,0
16,Fri Nov 21 2025 22:16:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:16:38,0,0,0
17,Fri Nov 21 2025 22:15:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:15:38,0,0,0
18,Fri Nov 21 2025 22:14:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:14:38,0,0,0
19,Fri Nov 21 2025 22:13:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:13:38,0,0,0
20,Fri Nov 21 2025 22:12:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:12:38,0,0,0
21,Fri Nov 21 2025 22:11:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:11:38,0,0,0
22,Fri Nov 21 2025 22:10:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:10:38,0,0,0
23,Fri Nov 21 2025 22:09:38 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:09:38,0,0,0
24,Fri Nov 21 2025 22:09:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:09:16,0,0,0
25,Fri Nov 21 2025 22:09:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:09:11,0,0,0
26,Fri Nov 21 2025 22:09:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:09:06,0,0,0
27,Fri Nov 21 2025 22:09:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:09:01,0,0,0
28,Fri Nov 21 2025 22:08:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:56,0,0,0
29,Fri Nov 21 2025 22:08:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:51,0,0,0
30,Fri Nov 21 2025 22:08:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:46,0,0,0
31,Fri Nov 21 2025 22:08:42 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:42,0,0,0
32,Fri Nov 21 2025 22:08:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:36,0,0,0
33,Fri Nov 21 2025 22:08:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:31,0,0,0
34,Fri Nov 21 2025 22:08:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:26,0,0,0
35,Fri Nov 21 2025 22:08:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:21,0,0,0
36,Fri Nov 21 2025 22:08:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:16,0,0,0
37,Fri Nov 21 2025 22:08:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:11,0,0,0
38,Fri Nov 21 2025 22:08:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:06,0,0,0
39,Fri Nov 21 2025 22:08:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:08:01,0,0,0
40,Fri Nov 21 2025 22:07:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:56,0,0,0
41,Fri Nov 21 2025 22:07:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:51,0,0,0
42,Fri Nov 21 2025 22:07:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:46,0,0,0
43,Fri Nov 21 2025 22:07:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:41,0,0,0
44,Fri Nov 21 2025 22:07:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:36,0,0,0
45,Fri Nov 21 2025 22:07:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:31,0,0,0
46,Fri Nov 21 2025 22:07:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:26,0,0,0
47,Fri Nov 21 2025 22:07:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:21,0,0,0
48,Fri Nov 21 2025 22:07:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:16,0,0,0
49,Fri Nov 21 2025 22:07:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:11,0,0,0
50,Fri Nov 21 2025 22:07:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:06,0,0,0
51,Fri Nov 21 2025 22:07:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:07:01,0,0,0
52,Fri Nov 21 2025 22:06:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:06:56,0,0,0
53,Fri Nov 21 2025 22:06:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:06:51,0,0,0
54,Fri Nov 21 2025 22:06:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,22:06:46,0,0,0
